Time,Var1_1,Var1_2,Var1_3
15-Aug-2020 20:00:10,14.4079983234406,303.560972213745,29.4958877563477
15-Aug-2020 20:00:20,14.3769979476929,304.165005683899,29.4869613647461
15-Aug-2020 20:00:30,14.3599987030029,304.521918296814,29.4809532165527
15-Aug-2020 20:00:40,14.3299996852875,305.026888847351,29.4749450683594
15-Aug-2020 20:00:50,14.2699956893921,305.716991424561,29.4768333435059
15-Aug-2020 20:01:00,14.2549991607666,306.067943572998,29.4699668884277
15-Aug-2020 20:01:10,14.2439961433411,305.851936340332,29.4838714599609
15-Aug-2020 20:01:20,14.2189979553223,306.123018264771,29.4849014282227
15-Aug-2020 20:01:30,14.1839981079102,306.412935256958,29.490909576416
15-Aug-2020 20:01:40,14.1039967536926,307.400941848755,29.4898796081543
15-Aug-2020 20:01:50,14.0879988670349,307.703971862793,29.4859313964844
15-Aug-2020 20:02:00,14.0489995479584,308.040022850037,29.4919395446777
15-Aug-2020 20:02:10,14.0689969062805,307.683944702148,29.4958877563477
15-Aug-2020 20:02:20,14.028000831604,307.399988174438,29.5259284973145
15-Aug-2020 20:02:30,14.0119969844818,308.330893516541,29.4979476928711
15-Aug-2020 20:02:40,14.003998041153,307.974934577942,29.5149421691895
15-Aug-2020 20:02:50,13.944000005722,308.480024337769,29.523868560791
15-Aug-2020 20:03:00,13.9059960842133,308.921933174133,29.5248985290527
15-Aug-2020 20:03:10,13.8869941234589,309.073925018311,29.5279884338379
15-Aug-2020 20:03:20,13.8480007648468,309.309959411621,29.5369148254395
15-Aug-2020 20:03:30,13.8459980487823,309.343934059143,29.5369148254395
15-Aug-2020 20:03:40,13.8569951057434,308.69996547699,29.5559692382812
15-Aug-2020 20:03:50,13.8189971446991,309.284925460815,29.5518493652344
15-Aug-2020 20:04:00,13.7919962406158,309.1139793396,29.5709037780762
15-Aug-2020 20:04:10,13.6659979820251,310.992956161499,29.5588874816895
15-Aug-2020 20:04:20,13.6969983577728,310.372948646545,29.567985534668
15-Aug-2020 20:04:30,13.6559963226318,310.98997592926,29.5638656616211
15-Aug-2020 20:04:40,13.6429965496063,310.787916183472,29.5779418945312
15-Aug-2020 20:04:50,13.6089980602264,310.943961143494,29.5878982543945
15-Aug-2020 20:05:00,13.5539948940277,311.500906944275,29.5928764343262
15-Aug-2020 20:05:10,13.5159969329834,311.934947967529,29.5949363708496
15-Aug-2020 20:05:20,13.5269999504089,311.569929122925,29.6028327941895
15-Aug-2020 20:05:30,13.5209977626801,311.363935470581,29.6139907836914
15-Aug-2020 20:05:40,13.5029971599579,311.314940452576,29.6239471435547
15-Aug-2020 20:05:50,13.4329974651337,312.326908111572,29.618968963623
15-Aug-2020 20:06:00,13.4639978408813,311.666965484619,29.6289253234863
15-Aug-2020 20:06:10,13.4309947490692,312.096953392029,29.6278953552246
15-Aug-2020 20:06:20,13.4149968624115,312.111973762512,29.6349334716797
15-Aug-2020 20:06:30,13.4149968624115,312.121987342834,29.6349334716797
15-Aug-2020 20:06:40,13.4029984474182,312.173962593079,29.6388816833496
15-Aug-2020 20:06:50,13.334995508194,312.56890296936,29.655876159668
15-Aug-2020 20:07:00,13.3089959621429,313.200950622559,29.644889831543
15-Aug-2020 20:07:10,13.2699966430664,313.726902008057,29.6438598632812
15-Aug-2020 20:07:20,13.2689952850342,313.373923301697,29.6569061279297
15-Aug-2020 20:07:30,13.2719993591309,312.994003295898,29.6699523925781
15-Aug-2020 20:07:40,13.2479965686798,313.199996948242,29.673900604248
15-Aug-2020 20:07:50,13.1699979305267,314.206957817078,29.6728706359863
15-Aug-2020 20:08:00,13.1579995155334,314.351916313171,29.6728706359863
15-Aug-2020 20:08:10,13.154000043869,314.189910888672,29.6809387207031
15-Aug-2020 20:08:20,13.1109952926636,314.828991889954,29.677848815918
15-Aug-2020 20:08:30,13.1109952926636,314.262986183167,29.6989631652832
15-Aug-2020 20:08:40,13.0699992179871,315.001010894775,29.6908950805664
15-Aug-2020 20:08:50,13.0429983139038,314.988970756531,29.7039413452148
15-Aug-2020 20:09:00,13.0129992961884,315.243005752563,29.7089195251465
15-Aug-2020 20:09:10,12.9989981651306,315.438985824585,29.7078895568848
15-Aug-2020 20:09:20,12.9960000514984,315.421938896179,29.7099494934082
15-Aug-2020 20:09:30,12.9569947719574,315.695881843567,29.717845916748
15-Aug-2020 20:09:40,12.9480004310608,315.421938896179,29.7329521179199
15-Aug-2020 20:09:50,12.9090011119843,316.066980361938,29.7269439697266
15-Aug-2020 20:10:00,12.9130005836487,315.578937530518,29.7439384460449
15-Aug-2020 20:10:10,12.85600066185,316.680908203125,29.7298622131348
15-Aug-2020 20:10:20,12.8699958324432,316.111922264099,29.7439384460449
15-Aug-2020 20:10:30,12.8609955310822,316.150903701782,29.7468566894531
15-Aug-2020 20:10:40,12.8499984741211,316.188931465149,29.7509765625
15-Aug-2020 20:10:50,12.8069996833801,316.449999809265,29.761962890625
15-Aug-2020 20:11:00,12.8139972686768,316.449999809265,29.7588729858398
15-Aug-2020 20:11:10,12.8049969673157,316.531896591187,29.7599029541016
15-Aug-2020 20:11:20,12.7849996089935,316.51496887207,29.7698593139648
15-Aug-2020 20:11:30,12.7569973468781,316.62392616272,29.7789573669434
15-Aug-2020 20:11:40,12.680995464325,318.138003349304,29.7599029541016
15-Aug-2020 20:11:50,12.6989960670471,317.625999450684,29.7698593139648
15-Aug-2020 20:12:00,12.680995464325,317.615985870361,29.7789573669434
15-Aug-2020 20:12:10,12.6309990882874,317.950010299683,29.7899436950684
